"MCC","MNC","TADIG_CODE","CC","OPERATOR_COUNTRY","OPERATOR_NAME","POPULATION_DATE_TIME","UPDATE_DATE_TIME"
"","","ESPT2","","SPAIN","TELEFONICA MOVILES ESPANA SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ESPXF","","SPAIN","XFERA MOVILES S.A. (Yoigo-TeliaSonera Group)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","LKADG","","SRI LANKA","DIALOG TELEKOM PLC ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","LKA71","","SRI LANKA","MOBITEL PRIVATE LIMITED","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","LKACT","","SRI LANKA","ETISALAT LANKA LIMITED","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","LKAHT","","SRI LANKA","HUTCHINSON TEL. LANKA PVT Ltd (HTLL)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","FRAF4","","ST BARTHELEMY (FR.ANTILLES)","DIGICEL ANTILLES FRANCAISE GUYANE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GLP01","","ST BARTHELEMY (FR.ANTILLES)","ORANGE CARAIBE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GLPDT","","ST BARTHELEMY (FR.ANTILLES)","DAUPHIN TELECOM","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","JAMDC","","ST KITTS & NEVIS","DIGICEL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","KNACW","","ST KITTS & NEVIS","CABLE & WIRELESS (WEST INDIES)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","JAMDC","","ST LUCIA","DIGICEL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","LCACW","","ST LUCIA","CABLE & WIRELESS (WEST INDIES)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ANTTC","","ST MAARTEN (NETHERL. ANTILLES)","TELCELL NV","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","FRAF4","","ST MARTIN (FR.ANTILLES)","DIGICEL ANTILLES FRANCAISE GUYANE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GLP01","","ST MARTIN (FR.ANTILLES)","ORANGE CARAIBE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GLPDT","","ST MARTIN (FR.ANTILLES)","DAUPHIN TELECOM","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","JAMDC","","ST VINCENT","DIGICEL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","VCTCW","","ST VINCENT","CABLE & WIRELESS (WEST INDIES)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SUDMO","","SUDAN","ZAIN SD (MOBITEL (SUDANESE MOBILE TEL.COLTED))","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SDNBT","","SUDAN","MTN SUDAN CO. LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SURTG","","SURINAME","TELESUR","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SURDC","","SURINAME","DIGICEL SURINAME N.V.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SWZMN","","SWAZILAND","SWAZI MTN LIMITED","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","AAZTC","","SWEDEN","TELENOR SVERIGE AB ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SWEHU","","SWEDEN","HI3G ACCESS AB SWEDEN","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SWEIQ","","SWEDEN","TELE2 SVERIGE AB","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SWEEP","","SWEDEN","TELENOR SVERIGE AB ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SWESM","","SWEDEN","TELE2 SVERIGE AB","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SWETR","","SWEDEN","TELIA SONERA MOBILE NETWORKS AB","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","CHEOR","","SWITZERLAND","ORANGE COMMUNICATIONS SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","CHEDX","","SWITZERLAND","SUNRISE COMMUNICATIONS AG","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","CHEC1","","SWITZERLAND","SWISSCOM MOBILE (ex-TELECOM FL)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SYR01","","SYRIA","SYRIATEL  MOBILE TELECOM SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","SYRSP","","SYRIA","MTN SYRIA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TWNLD","","TAIWAN","CHUNGHWA TELECOM MOBILE BUSINESS GROUP","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TWNPC","","TAIWAN","TAIWAN MOBILE CO.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TWNFE","","TAIWAN","FAR EASTTONE TELECOMMUNICATIONS CO LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TJKIT","","TAJIKISTAN SOUTH","CJSC INDIGO","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TJK91","","TAJIKISTAN SOUTH","TACOM LLC ""BEELINE""","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TJK01","","TAJIKISTAN NORTH","CJSC SOMONCOM 'TCELL' (ex-INDIGO)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TJKBM","","TAJIKISTAN NORTH","BABILON MOBILE TAJIKISTAN","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TZAVC","","TANZANIA","VODACOM TANZANIA LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TZACT","","TANZANIA","AIRTEL TANZANIA LIMITED","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TZAZN","","TANZANIA","ZANZIBAR TELECOM LIMITED - ZANTEL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TZAMB","","TANZANIA","MIC TANZANIA LTD. 'TIGO' ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","THAAS","","THAILAND","AIS (ADVANCED INFO SERVICE PUBLIC COMPANY)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","THACO","","THAILAND","TRUE MOVE CO LTD ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","THAWP","","THAILAND","DTAC ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TLSTL","","TIMOR LESTE","TIMOR TELECOM S.A.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TGOTC","","TOGO","TOGO CELLULAIRE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TGOTL","","TOGO","MOOV TOGO 'Atlantique Telecom'","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TONDP","","TONGA","DIGICEL TONGA LIMITED","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TTODL","","TRINIDAD & TOBAGO","DIGICEL TRINIDAD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TTO12","","TRINIDAD & TOBAGO","TEL. SERVICES of TRINIDAD & TOBAGO LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TUNTT","","TUNESIA","TUNESIE TELECOM","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TUNTA","","TUNESIA","TUNISIANA (ORASCOM TELECOM TUNISIE SA)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TUNOR","","TUNESIA","ORANGE TUNESIE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TURTS","","TURKEY","VODAFONE TELEKOMUNIKASYON AS ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TURTC","","TURKEY","TURKCELL ILETISIM HIZMETLERI AS","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TURAC","","TURKEY","AVEA (AYCELL)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TURIS","","TURKEY","AVEA (ARIA)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TKMBC","","TURKMENISTAN","BCTI (BARASH COMMUNICATION TECHNOLOGIES INC)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","JAMDC","","TURKS AND CAICOS","DIGICEL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","TCACW","","TURKS AND CAICOS","CABLE & WIRELESS (WEST INDIES)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","UGACE","","UGANDA","AIRTEL (ZAIN (CELTEL LTD))","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","UGAMN","","UGANDA","MTN UGANDA LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","UGAWT","","UGANDA","WARID TELECOM UGANDA LIMITED","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","UKRUM","","UKRAINE","MTS (ex-UMC (UKRAINIAN MOBILE COMMUNCIATIONS))","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","UKRKS","","UKRAINE","KYIVSTAR GSM","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","UKRAS","","UKRAINE","ASTELIT LLC 'LIFE'","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","UKRUT","","UKRAINE","UKRTELECOM, Open Joint Stock Company","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","UKRRS","","UKRAINE","CJSC UKRAINIAN RADIO SYSTEMS","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","AREDU","","UNITED ARAB EMIRATES","du' - EMIRATES INTEGRATED TEL. Cie PJSC","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ARETC","","UNITED ARAB EMIRATES","ETISALAT (EMIRATES TEL.CORP.)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GBRCN","","UNITED KINGDOM","TELEFONICA O2 UK LTD (ex-BT CELLNET)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GBRC9","","UNITED KINGDOM","CLOUD 9 COMMUNICATIONS","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GBROR","","UNITED KINGDOM","EVERYTHING EVERYWHERE LIMITED","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GBRVF","","UNITED KINGDOM","VODAFONE LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GBRME","","UNITED KINGDOM","EVERYTHING EVERYWHERE LIMITED ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GBRHU","","UNITED KINGDOM","HUTCHISON 3G UK LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GBRTR","","UNITED KINGDOM","SOFTWARE CELLULAR NETWORK LTD (TRUPHONE LTD) ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","URYAN","","URUGUAY","ANTEL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","URYAM","","URUGUAY","AM Wireless Uruguay S.A. 'CLARO'","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","URYTM","","URUGUAY","TELEFONICA MOVILES DE URUGUAY","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USAWW","","U.S.A.","ALLTEL COMMUNICATIONS INC. (WESTERN WIRELESS)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USAAT","","U.S.A.","AT&T MOBILITY","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USAPB","","U.S.A.","AT&T MOBILITY (CINGULAR WIRELESS West)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USABS","","U.S.A.","AT&T MOBILITY (CINGULAR WIRELESS East)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USACG","","U.S.A.","AT&T MOBILITY (CINGULAR GENESIS)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USA16","","U.S.A.","T-MOBILE (VOICESTREAM) - NEW YORK (OMNIPOINT)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USAW0","","U.S.A.","T-MOBILE (VOICESTREAM)  - PORTLAND","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USAW1","","U.S.A.","T-MOBILE (VOICESTREAM)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USAW2","","U.S.A.","T-MOBILE (VOICESTREAM) - OKLAHOMA CITY","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USAW3","","U.S.A.","T-MOBILE (VOICESTREAM) - SALT LAKE CITY","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USAW4","","U.S.A.","T-MOBILE (VOICESTREAM) - ALBURQUE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USAW5","","U.S.A.","T-MOBILE (VOICESTREAM) - HAWAII","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USAW6","","U.S.A.","T-MOBILE (VOICESTREAM) - DENVER","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USA27","","U.S.A.","T-MOBILE (VOICESTREAM) - JACKSONVILLE ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USA31","","U.S.A.","T-MOBILE (VOICESTREAM)  - TAMPA (FORMERLY AERIAL)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USAWW","","U.S.A.","ALLTEL COMMUNICATIONS INC. (ex-MANX TEL.)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USANC","","U.S.A.","SPRINT NEXTEL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USASC","","U.S.A.","SUNCOM WIRELESS OPERATING COMPANY, INC (T-MOBILE USA)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USACI","","U.S.A.","VIAERO WIRELESS ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NR","","U.S.A.","COMMNET AMERICA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USACW","","U.S.A.","KEYSTONE WIRELESS LLC d/b/a Immix Wireless","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USAJS","","U.S.A.","JASPER WIRELESS Inc.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","INTJS","","U.S.A.","JASPER WIRELESS Inc.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USAAT","","US VIRGIN ISLANDS","CINGULAR WIRELESS (FORMERLY AT&T)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","USASC","","US VIRGIN ISLANDS","T-MOBILE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","UZB05","","UZBEKISTAN","UCELL (COSCOM JV)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","UZB07","","UZBEKISTAN","UZDUNROBITA 'MTS'","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","UZBDU","","UZBEKISTAN","UNITEL LLC","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","VEN01","","VENEZUELA","CORPORACION DIGITEL C.A.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","VEND2","","VENEZUELA","CORPORACION DIGITEL C.A.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","VEND3","","VENEZUELA","CORPORACION DIGITEL C.A.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","VENMS","","VENEZUELA","TELCEL C.A. 'TELEFONICA'","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","VENMV","","VENEZUELA","TELECOMINICACIONES MOVILNET C.A","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","VNMBL","","VIETNAM","GTEL MOBILE LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","VNMVI","","VIETNAM","VINAPHONE (VIETNAM TELECOM SERVICES COMPANY)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","VNMMO","","VIETNAM","MOBIFONE (VIETNAM MOBILE TELECOM SERVICES CO.)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","VNMVT","","VIETNAM","VIETTEL CORPORATION","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","WSMDP","","WESTERN SAMOA","DIGICEL SAMOA LIMITED","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","YEMSA","","YEMEN","SABAFON (YEMEN COMPANY FOR MOBILE TELEPHONY)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","YEMYY","","YEMEN","Y – TELECOM SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ZMBCE","","ZAMBIA","ZAIN (CELTEL ZAMBIA LTD)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ZMBCZ","","ZAMBIA","ZAMBIA TELECOMMUNICATIONS COMPANY LTD ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ZMB02","","ZAMBIA","MTN ZAMBIA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ZWEN1","","ZIMBABWE","NETONE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ZWEN3","","ZIMBABWE","TELECEL ZIMBABWE PVT LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ZWEET","","ZIMBABWE","ECONET WIRELESS PRIVATE LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
