"MCC","MNC","TADIG_CODE","CC","OPERATOR_COUNTRY","OPERATOR_NAME","POPULATION_DATE_TIME","UPDATE_DATE_TIME"
"","","MLTGO","","MALTA","GO MOBILE (MOBILE COMMUNICATIONS LTD)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MLTMM","","MALTA","MELITA MOBILE LIMITED","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GBRGT","","MAN (ISLE OF)","C&W GUERNSEY LTD (ex-GUERNSEY TELECOMS)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GBRMT","","MAN (ISLE OF)","MANX TELECOM","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","FRAF4","","MARTINIQUE (FR.ANTILLES)","DIGICEL ANTILLES FRANCAISE GUYANE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GLP01","","MARTINIQUE (FR.ANTILLES)","ORANGE CARAIBE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GUF01","","MARTINIQUE (FR.ANTILLES)","OUTREMER TELECOM","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MRTMT","","MAURITANIA","MATTEL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MRTMM","","MAURITANIA","MAURITEL MOBILES SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MRTCH","","MAURITANIA","CHINGUITEL SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MUSCP","","MAURITIUS","ORANGE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MUSEM","","MAURITIUS","EMTEL LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MUSMT","","MAURITIUS","MAHANAGAR TELEPHONE (MAURITIUS) LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","FRARE","","MAYOTTE  (Island of)","SRR (SOCIETE REUNIONAISE DE RADIOTELEPHONE)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","REUOT","","MAYOTTE  (Island of)","OUTREMER TELECOM","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MEXTL","","MEXICO","TELCEL (RADIOMOVIL DIPSA SA DE CV)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MEXNC","","MEXICO","COMUNICACIONES NEXTEL DE MEXICO S.A. DE C.V.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MEXMS","","MEXICO","PEGASO PCS S.A. de C.V. ('TELEFONICA MOVILES MEXICO')","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MEXIU","","MEXICO","IUSACELL S.A. DE C.V MEXICO","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MDAVX","","MOLDOVA","ORANGE (VOXTEL SA)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MDAMC","","MOLDOVA","MOLDCELL SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MDAUN","","MOLDOVA","MOLDTELECOM SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MNGMC","","MONGOLIA","MOBICOM CORPORATION","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MNGMN","","MONGOLIA","UNITEL LLC","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","YUGPM","","MONTENEGRO (ex-YUGOSLAVIA)","PROMONTE GSM","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","YUGTM","","MONTENEGRO (ex-YUGOSLAVIA)","T-MOBILE MONTENEGRO LLC (ex-MONET D.O.O.)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MNETM","","MONTENEGRO (ex-YUGOSLAVIA)","CRNOGORSI TEL. a.d. PODGORICA _T-MOBILE MONTENEGRO","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MNEMT","","MONTENEGRO (ex-YUGOSLAVIA)","DRUSTVO ZA TELEKOMUNICACIJE - MTEL D.O.O","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MNEPM","","MONTENEGRO (ex-YUGOSLAVIA)","TELENOR LTD MONTENEGRO","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MSRCW","","MONTSERRAT","CABLE & WIRELESS (WEST INDIES) ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MARM1","","MOROCCO","MAROC TELECOM IAM","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MARMT","","MOROCCO","MEDI TELECOM SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MARM3","","MOROCCO","WANA CORPORATE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MOZ01","","MOZAMBIQUE","MCEL (MOCAMBIQUE CELULAR SARL)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","MOZVC","","MOZAMBIQUE","VODACOM S.A.R.L.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NAM01","","NAMIBIA","MTC (MOBILE TELECOMMUNICATIONS LIMITED)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NAM03","","NAMIBIA","POWERCOM (PTY) LTD. ('CELL ONE')","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","FJIDP","","NAURU","DIGICEL NAURU CORP. ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NPLNM","","NEPAL","NEPAL DOORSANCHAR COMPANY LTD. ('NTC')","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NPLM2","","NEPAL","SPICE NEPAL PRIVATE LIMITED","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NLDPN","","NETHERLANDS","T-MOBILE NETHERLANDS BV","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NLDDT","","NETHERLANDS","ORANGE NEDERLAND NV (ex-DUTCHTONE)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NLDLT","","NETHERLANDS","LIBERTEL-VODAFONE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NLDPT","","NETHERLANDS","KPN B.V.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NLDTM","","NETHERLANDS","TELFORT NV","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NCLPT","","NEW CALEDONIA","OPT","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NZLBS","","NEW ZEALAND","VODAFONE NEW ZEALAND LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NZLNH","","NEW ZEALAND","2DEGREES MOBILE LIMITED","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NZLTM","","NEW ZEALAND","TELECOM NEW ZEALAND LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NICEN","","NICARAGUA","ENITEL SA 'CLARO'","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NICMS","","NICARAGUA","TELEFONICA CELULAR DE NICARAGUA SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NERCT","","NIGER","CELTEL NIGER S.A. 'AIRTEL'","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NERTL","","NIGER","MOOV (TELECEL NIGER)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NEROR","","NIGER","ORANGE NIGER S.A.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NGAET","","NIGERIA","AIRTEL NETWORK LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NGAMN","","NIGERIA","MTN COMMUNICATIONS LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NGAGM","","NIGERIA","GLO MOBILE LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NGAEM","","NIGERIA","EMTS ETISALAT NIGERIA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NORNC","","NORWAY","TELIASONERA NORGE AS (NETCOM AS)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NORTM","","NORWAY","TELENOR MOBIL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","NORNN","","NORWAY","NETWORK NORWAY AS","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","GUMHT","","NORTHERN MARIANA ISLANDS","DOCOMO PACIFIC, INC (GUAM WIRELESS TEL.CY, LLC 'HafaTEL')","14/02/2023 13:10:00","14/02/2023 13:10:00"
