ID,DESCRIPTION,POPULATION_DATE_TIME,UPDATE_DATE_TIME
10,local intra-network call,,
11,local inter-network call,,
12,national toll call,,
13,international toll call,,
14,national roaming call,,
15,international roaming call,,
21,intra-network SMS,,
22,inter-network SMS,,
23,special number SMS,,
24,international SMS,,
25,intra-network MMS,,
26,inter-network MMS,,
27,international SMS,,
31,local data service,,
33,roaming data service,,
4,rental,,
5,content-based charging,,
