ID,DESCRIPTION,POPULATION_DATE_TIME,UPDATE_DATE_TIME
0,IVR,,
1,USSD,,
2,SMS,,
3,WebService,,
4,GUI,,
5,task (batch recharge triggered in the system),,
6,automatic (automatic recharge triggered in the system),,
7,reserved,,
